d,st,et,p,sp,dp,ct,fp
0,1257258307980523,1018999,19,49322,25,abortive,"0:74:2:1:4145098096:0,267:74:18:0:1658272734:4145098097,444:66:16:1:4145098097:1658272735,1003263:287:24:0:1658272735:4145098097,1003455:66:16:1:4145098097:1658272956,1003461:81:24:1:4145098097:1658272956,1003708:66:16:0:1658272956:4145098112,1003795:163:24:0:1658272956:4145098112,1003970:95:24:1:4145098112:1658273053,1005297:108:24:0:1658273053:4145098141,1005473:98:24:1:4145098141:1658273095,1008785:115:24:0:1658273095:4145098173,1008938:71:24:1:4145098173:1658273144,1009243:116:24:0:1658273144:4145098178,1009411:93:24:1:4145098178:1658273194,1009450:140:25:1:4145098205:1658273194,1009811:66:16:0:1658273194:4145098280,1018829:122:24:0:1658273194:4145098280,1018999:60:4:1:4145098280:0"
1,1257258307983249,153,2,46623,113,rst_during_handshake,"0:74:2:1:1650007738:0,153:60:20:0:0:1650007739"
0,1257258314160359,1263497,19,33271,25,abortive,"0:74:2:1:4234543838:0,500:74:18:0:1746343198:4234543839,685:66:16:1:4234543839:1746343199,1078157:287:24:0:1746343199:4234543839,1078351:66:16:1:4234543839:1746343420,1078357:81:24:1:4234543839:1746343420,1078584:66:16:0:1746343420:4234543854,1078644:163:24:0:1746343420:4234543854,1078821:95:24:1:4234543854:1746343517,1080172:108:24:0:1746343517:4234543883,1080358:95:24:1:4234543883:1746343559,1083819:112:24:0:1746343559:4234543912,1083991:71:24:1:4234543912:1746343605,1084288:116:24:0:1746343605:4234543917,1084483:90:24:1:4234543917:1746343655,1084490:140:25:1:4234543941:1746343655,1084751:66:16:0:1746343655:4234544016,1263348:122:24:0:1746343655:4234544016,1263497:60:4:1:4234544016:0"
1,1257258314174651,150,2,55550,113,rst_during_handshake,"0:74:2:1:1744463514:0,150:60:20:0:0:1744463515"
0,1257258316293913,1018479,19,60461,25,abortive,"0:74:2:1:4264211811:0,255:74:18:0:1779255913:4264211812,409:66:16:1:4264211812:1779255914,1000259:287:24:0:1779255914:4264211812,1000442:66:16:1:4264211812:1779256135,1000447:81:24:1:4264211812:1779256135,1000692:66:16:0:1779256135:4264211827,1000902:163:24:0:1779256135:4264211827,1001142:95:24:1:4264211827:1779256232,1002579:108:24:0:1779256232:4264211856,1002821:97:24:1:4264211856:1779256274,1006320:114:24:0:1779256274:4264211887,1006498:71:24:1:4264211887:1779256322,1006774:116:24:0:1779256322:4264211892,1006969:92:24:1:4264211892:1779256372,1006976:140:25:1:4264211918:1779256372,1007251:66:16:0:1779256372:4264211993,1018332:122:24:0:1779256372:4264211993,1018479:60:4:1:4264211993:0"
1,1257258316296333,148,2,48591,113,rst_during_handshake,"0:74:2:1:1780950192:0,148:60:20:0:0:1780950193"
0,1257258317311641,1021207,19,50809,25,abortive,"0:74:2:1:4282093025:0,243:74:18:0:1806615451:4282093026,387:66:16:1:4282093026:1806615452,1002615:287:24:0:1806615452:4282093026,1002825:66:16:1:4282093026:1806615673,1002830:81:24:1:4282093026:1806615673,1003234:66:16:0:1806615673:4282093041,1003236:163:24:0:1806615673:4282093041,1003464:95:24:1:4282093041:1806615770,1004905:108:24:0:1806615770:4282093070,1005150:97:24:1:4282093070:1806615812,1008451:114:24:0:1806615812:4282093101,1008620:71:24:1:4282093101:1806615860,1008902:116:24:0:1806615860:4282093106,1009098:92:24:1:4282093106:1806615910,1009104:140:25:1:4282093132:1806615910,1009369:66:16:0:1806615910:4282093207,1021027:122:24:0:1806615910:4282093207,1021207:60:4:1:4282093207:0"
1,1257258317314353,203,2,36431,113,rst_during_handshake,"0:74:2:1:1809817832:0,203:60:20:0:0:1809817833"
0,1257258324493128,1139922,19,58622,25,abortive,"0:74:2:1:96022613:0,254:74:18:0:1908414774:96022614,397:66:16:1:96022614:1908414775,1013329:287:24:0:1908414775:96022614,1013519:66:16:1:96022614:1908414996,1013524:81:24:1:96022614:1908414996,1013771:66:16:0:1908414996:96022629,1013970:163:24:0:1908414996:96022629,1014167:95:24:1:96022629:1908415093,1015561:108:24:0:1908415093:96022658,1015732:98:24:1:96022658:1908415135,1019324:115:24:0:1908415135:96022690,1019471:71:24:1:96022690:1908415184,1019769:116:24:0:1908415184:96022695,1019917:93:24:1:96022695:1908415234,1019955:140:25:1:96022722:1908415234,1020281:66:16:0:1908415234:96022797,1139773:122:24:0:1908415234:96022797,1139922:60:4:1:96022797:0"
1,1257258324499651,150,2,54694,113,rst_during_handshake,"0:74:2:1:1908484620:0,150:60:20:0:0:1908484621"
0,1257258332723480,3462787,21,46749,25,abortive,"0:74:2:1:233098370:0,241:74:18:0:2048699680:233098371,386:66:16:1:233098371:2048699681,1001604:287:24:0:2048699681:233098371,1001828:66:16:1:233098371:2048699902,1001834:81:24:1:233098371:2048699902,1002084:66:16:0:2048699902:233098386,1002139:163:24:0:2048699902:233098386,1002316:95:24:1:233098386:2048699999,1003605:108:24:0:2048699999:233098415,1003787:96:24:1:233098415:2048700041,1043920:66:16:0:2048700041:233098445,2838945:113:24:0:2048700041:233098445,2839118:71:24:1:233098445:2048700088,2839364:66:16:0:2048700088:233098450,2839422:116:24:0:2048700088:233098450,2839614:91:24:1:233098450:2048700138,2839620:140:25:1:233098475:2048700138,2839892:66:16:0:2048700138:233098550,3462639:122:24:0:2048700138:233098550,3462787:60:4:1:233098550:0"
1,1257258332726140,140,2,40948,113,rst_during_handshake,"0:74:2:1:2047645651:0,140:60:20:0:0:2047645652"
0,1257258345878539,1062559,19,54891,25,abortive,"0:74:2:1:436865589:0,247:74:18:0:2251818134:436865590,395:66:16:1:436865590:2251818135,1018312:287:24:0:2251818135:436865590,1018497:66:16:1:436865590:2251818356,1018502:81:24:1:436865590:2251818356,1018751:66:16:0:2251818356:436865605,1018821:163:24:0:2251818356:436865605,1018994:95:24:1:436865605:2251818453,1020191:108:24:0:2251818453:436865634,1020372:98:24:1:436865634:2251818495,1023530:115:24:0:2251818495:436865666,1023700:71:24:1:436865666:2251818544,1023994:116:24:0:2251818544:436865671,1024185:93:24:1:436865671:2251818594,1024191:140:25:1:436865698:2251818594,1024460:66:16:0:2251818594:436865773,1062414:122:24:0:2251818594:436865773,1062559:60:4:1:436865773:0"
1,1257258345881226,148,2,44225,113,rst_during_handshake,"0:74:2:1:2239505739:0,148:60:20:0:0:2239505740"
0,1257258350002782,1074914,19,46764,25,abortive,"0:74:2:1:497734928:0,240:74:18:0:2317550781:497734929,387:66:16:1:497734929:2317550782,1018388:287:24:0:2317550782:497734929,1018577:66:16:1:497734929:2317551003,1018584:81:24:1:497734929:2317551003,1018834:66:16:0:2317551003:497734944,1018898:163:24:0:2317551003:497734944,1019069:95:24:1:497734944:2317551100,1020702:108:24:0:2317551100:497734973,1020913:97:24:1:497734973:2317551142,1024359:114:24:0:2317551142:497735004,1024547:71:24:1:497735004:2317551190,1024905:116:24:0:2317551190:497735009,1025100:92:24:1:497735009:2317551240,1025107:140:25:1:497735035:2317551240,1025415:66:16:0:2317551240:497735110,1074775:122:24:0:2317551240:497735110,1074914:60:4:1:497735110:0"
1,1257258350005228,149,2,40660,113,rst_during_handshake,"0:74:2:1:2306762709:0,149:60:20:0:0:2306762710"
