start_time,src_port,dst_port,close_type,packets
1257283668995645,32846,25,2,"0:2:1,259:18:0,405:16:1,1012204:24:0,1012393:16:1,1012398:24:1,1012652:16:0,1012744:24:0,1012929:24:1,1014356:24:0,1014535:24:1,1016978:24:0,1017127:24:1,1017464:24:0,1017644:24:1,1017651:25:1,1017913:16:0,1089343:24:0,1089503:4:1"
1257431897369288,32885,113,4,"0:2:0,152:20:1"
1257431488576935,32973,113,4,"0:2:0,149:20:1"
1257259062688614,33064,25,2,"0:2:1,240:18:0,404:16:1,1010611:24:0,1010796:16:1,1010802:24:1,1011052:16:0,1011128:24:0,1011301:24:1,1012583:24:0,1012755:24:1,1015284:24:0,1015456:24:1,1015733:24:0,1015925:24:1,1015933:25:1,1016197:16:0,1031046:24:0,1031196:4:1"
1257431453763566,33332,113,4,"0:2:0,154:20:1"
1257413902042754,33540,25,2,"0:2:1,250:18:0,398:16:1,1013535:24:0,1013720:16:1,1013725:24:1,1013975:16:0,1014041:24:0,1014220:24:1,1015413:24:0,1015584:24:1,1017798:24:0,1017968:24:1,1018248:24:0,1018436:24:1,1018442:25:1,1018715:16:0,1031090:24:0,1031237:4:1"
1257431626165848,33828,113,4,"0:2:0,151:20:1"
1257420767834092,33993,25,2,"0:2:1,250:18:0,388:16:1,1007171:24:0,1007354:16:1,1007358:24:1,1007609:16:0,1007706:24:0,1007878:24:1,1009138:24:0,1009302:24:1,1011466:24:0,1011629:24:1,1011908:24:0,1012082:24:1,1012087:25:1,1012360:16:0,1024528:24:0,1024668:4:1"
1257413855922923,34366,25,2,"0:2:1,268:18:0,421:16:1,1003628:24:0,1003812:16:1,1003817:24:1,1004065:16:0,1004150:24:0,1004324:24:1,1005620:24:0,1005795:24:1,1008259:24:0,1008433:24:1,1008726:24:0,1008936:24:1,1008942:25:1,1009232:16:0,2248197:24:0,2248343:4:1"
1257420767836574,34636,113,4,"0:2:0,140:20:1"
1257413902049214,34659,113,4,"0:2:0,149:20:1"
1257413880586097,34715,113,4,"0:2:0,150:20:1"
1257259062696063,34962,113,4,"0:2:0,150:20:1"
1257431614882691,34992,113,4,"0:2:0,157:20:1"
1257431562202224,35050,113,4,"0:2:0,153:20:1"
1257431596409332,35163,25,2,"0:2:1,247:18:0,392:16:1,1011819:24:0,1012007:16:1,1012013:24:1,1012261:16:0,1012347:24:0,1012526:24:1,1013924:24:0,1014105:24:1,1016415:24:0,1016588:24:1,1016887:24:0,1017068:24:1,1017075:25:1,1017338:16:0,1499286:24:0,1499490:4:1"
1257420725753621,35311,113,4,"0:2:0,143:20:1"
1257283682388617,35688,113,4,"0:2:0,148:20:1"
1257431610791976,35688,25,2,"0:2:1,386:18:0,568:16:1,999870:24:0,1000060:16:1,1000065:24:1,1000324:16:0,1000406:24:0,1000582:24:1,1001849:24:0,1002027:24:1,1004293:24:0,1004465:24:1,1004747:24:0,1004930:24:1,1004937:25:1,1005214:16:0,1025401:24:0,1025564:4:1"
1257431867668188,36103,113,4,"0:2:0,150:20:1"
1257283571367411,36130,113,4,"0:2:0,148:20:1"
1257283677228985,36324,113,4,"0:2:0,149:20:1"
1257283553744136,36546,25,2,"0:2:1,248:18:0,394:16:1,1021089:24:0,1021279:16:1,1021285:24:1,1021537:16:0,1021607:24:0,1021783:24:1,1023058:24:0,1023243:24:1,1030226:24:0,1030373:24:1,1030671:24:0,1030858:24:1,1030864:25:1,1031134:16:0,1078117:24:0,1078288:4:1"
1257283650593906,36553,113,4,"0:2:0,150:20:1"
1257259066829146,36637,25,2,"0:2:1,1677:18:0,1852:16:1,1022242:24:0,1022458:16:1,1022463:24:1,1022700:16:0,1022790:24:0,1022963:24:1,1024303:24:0,1024496:24:1,1026951:24:0,1027096:24:1,1027388:24:0,1027580:24:1,1027587:25:1,1027848:16:0,1129276:24:0,1129428:4:1"
1257283636952418,36770,113,4,"0:2:0,151:20:1"
1257431576705872,36806,25,2,"0:2:1,245:18:0,394:16:1,1016813:24:0,1016999:16:1,1017005:24:1,1017255:16:0,1017340:24:0,1017521:24:1,1018832:24:0,1019011:24:1,1021471:24:0,1021651:24:1,1022032:24:0,1022277:24:1,1022282:25:1,1022728:16:0,1078465:24:0,1078624:4:1"
1257431885071880,37053,113,4,"0:2:0,220:20:1"
1257420736016752,37072,25,2,"0:2:1,249:18:0,389:16:1,1011542:24:0,1011725:16:1,1011729:24:1,1011975:16:0,1012029:24:0,1012201:24:1,1013502:24:0,1013671:24:1,1016022:24:0,1016187:24:1,1016487:24:0,1016659:24:1,1016664:25:1,1016934:16:0,1027144:24:0,1027284:4:1"
1257283610434299,37136,25,2,"0:2:1,248:18:0,394:16:1,1016194:24:0,1016377:16:1,1016383:24:1,1016629:16:0,1016681:24:0,1016857:24:1,1018095:24:0,1018272:24:1,1020532:24:0,1020702:24:1,1021010:24:0,1021193:24:1,1021199:25:1,1021473:16:0,1078357:24:0,1078507:4:1"
1257259053367499,37262,25,2,"0:2:1,240:18:0,386:16:1,1011405:24:0,1011635:16:1,1011640:24:1,1012068:16:0,1012123:24:0,1012332:24:1,1013883:24:0,1014099:24:1,1016650:24:0,1016818:24:1,1017101:24:0,1017295:24:1,1017301:25:1,1017596:16:0,1030790:24:0,1031020:4:1"
1257283583497547,37643,25,2,"0:2:1,271:18:0,426:16:1,1019245:24:0,1019466:16:1,1019471:24:1,1019747:16:0,1019803:24:0,1019983:24:1,1021356:24:0,1021528:24:1,1023802:24:0,1023976:24:1,1024273:24:0,1024456:24:1,1024464:25:1,1024751:16:0,1104002:24:0,1104148:4:1"
1257431613853830,37764,25,2,"0:2:1,244:18:0,397:16:1,1009406:24:0,1009595:16:1,1009600:24:1,1009845:16:0,1009903:24:0,1010078:24:1,1011388:24:0,1011559:24:1,1013997:24:0,1014143:24:1,1014439:24:0,1014609:24:1,1014617:25:1,1014898:16:0,1029635:24:0,1029819:4:1"
1257259091141460,37798,25,2,"0:2:1,530:18:0,741:16:1,1009133:24:0,1009318:16:1,1009323:24:1,1009572:16:0,1009662:24:0,1009837:24:1,1011161:24:0,1011332:24:1,1013593:24:0,1013767:24:1,1014038:24:0,1014232:24:1,1014239:25:1,1014511:16:0,1032972:24:0,1033120:4:1"
