d,st,et,p,sp,dp,ct,fp
1,1257628457444616,25357654051,5,30521,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5573699476:60:2:1:3527673088:0,5603991589:60:2:1:3527673088:0,5609929458:60:2:1:3527673088:0,25357654051:60:2:1:3527673088:0"
1,1257628457447664,5602190880,2,14076,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5602190880:60:2:1:3527673088:0"
1,1257628457458861,25410805730,3,3169,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5618759890:60:2:1:3527673088:0,25410805730:60:2:1:3527673088:0"
1,1257628457459879,0,1,22247,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257628457467007,5652473950,4,47312,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5600771483:60:2:1:3527673088:0,5634146290:60:2:1:3527673088:0,5652473950:60:2:1:3527673088:0"
1,1257628457472098,25428908810,8,41057,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5598298902:60:2:1:3527673088:0,5662937925:60:2:1:3527673088:0,25326413077:60:2:1:3527673088:0,25339307160:60:2:1:3527673088:0,25366501974:60:2:1:3527673088:0,25398112871:60:2:1:3527673088:0,25428908810:60:2:1:3527673088:0"
1,1257628457480241,25399284389,4,34538,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5639710626:60:2:1:3527673088:0,25380422829:60:2:1:3527673088:0,25399284389:60:2:1:3527673088:0"
1,1257628457482273,25428455122,4,49286,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5568062240:60:2:1:3527673088:0,5664004037:60:2:1:3527673088:0,25428455122:60:2:1:3527673088:0"
1,1257628457483295,5582937556,2,18958,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5582937556:60:2:1:3527673088:0"
1,1257628457495512,25375452548,4,38357,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5569453558:60:2:1:3527673088:0,25337472331:60:2:1:3527673088:0,25375452548:60:2:1:3527673088:0"
1,1257628457500604,25413885030,4,14736,80,incomplete_no_synack,"0:60:2:1:3527673088:0,873749:60:2:1:3527673088:0,5609385808:60:2:1:3527673088:0,25413885030:60:2:1:3527673088:0"
1,1257628457501621,5660846568,5,45893,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5594345709:60:2:1:3527673088:0,5596792818:60:2:1:3527673088:0,5630766422:60:2:1:3527673088:0,5660846568:60:2:1:3527673088:0"
1,1257628457504676,25395781996,4,2571,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5594748894:60:2:1:3527673088:0,25377252825:60:2:1:3527673088:0,25395781996:60:2:1:3527673088:0"
1,1257628457506714,25362515171,6,16619,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5583267891:60:2:1:3527673088:0,5587961051:60:2:1:3527673088:0,5629081832:60:2:1:3527673088:0,5667877007:60:2:1:3527673088:0,25362515171:60:2:1:3527673088:0"
1,1257628457508748,25351406225,6,10093,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5614745919:60:2:1:3527673088:0,5618786866:60:2:1:3527673088:0,5654588604:60:2:1:3527673088:0,5665222232:60:2:1:3527673088:0,25351406225:60:2:1:3527673088:0"
1,1257628457509764,25369732719,4,43584,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5619077154:60:2:1:3527673088:0,5655584957:60:2:1:3527673088:0,25369732719:60:2:1:3527673088:0"
1,1257628457511802,0,1,43602,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257628457531152,5592128855,3,19213,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5583585917:60:2:1:3527673088:0,5592128855:60:2:1:3527673088:0"
1,1257628457537261,25363504040,4,9472,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5619661323:60:2:1:3527673088:0,25326592726:60:2:1:3527673088:0,25363504040:60:2:1:3527673088:0"
1,1257628457546427,5664677126,3,1609,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5589788075:60:2:1:3527673088:0,5664677126:60:2:1:3527673088:0"
1,1257628457547447,25380128254,6,11240,80,incomplete_no_synack,"0:60:2:1:3527673088:0,3265916:60:2:1:3527673088:0,5579357701:60:2:1:3527673088:0,5619909194:60:2:1:3527673088:0,5630488557:60:2:1:3527673088:0,25380128254:60:2:1:3527673088:0"
1,1257628457550500,25395937008,4,53898,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5595381397:60:2:1:3527673088:0,25354581238:60:2:1:3527673088:0,25395937008:60:2:1:3527673088:0"
1,1257628457565774,5645886254,2,41276,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5645886254:60:2:1:3527673088:0"
1,1257628457577989,25415705098,5,7885,80,incomplete_no_synack,"0:60:2:1:3527673088:0,3809422:60:2:1:3527673088:0,5657560501:60:2:1:3527673088:0,25349007922:60:2:1:3527673088:0,25415705098:60:2:1:3527673088:0"
1,1257628457582064,25430385983,3,28840,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5588312774:60:2:1:3527673088:0,25430385983:60:2:1:3527673088:0"
1,1257628457592249,0,1,14106,80,incomplete_no_synack,0:60:2:1:3527673088:0
1,1257628457597345,25423621439,4,25939,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5605422006:60:2:1:3527673088:0,25408104460:60:2:1:3527673088:0,25423621439:60:2:1:3527673088:0"
1,1257628457600396,25430968302,7,14628,80,incomplete_no_synack,"0:60:2:1:3527673088:0,5563745400:60:2:1:3527673088:0,5599847040:60:2:1:3527673088:0,5619549139:60:2:1:3527673088:0,25344883775:60:2:1:3527673088:0,25360321533:60:2:1:3527673088:0,25430968302:60:2:1:3527673088:0"
