timestamp,src_ip,dst_ip,src_port,dst_port,flags,flag_type,length
1257399223717767,8.35.39.15,172.28.4.7,37475,80,2,SYN,60
1257399223717910,172.28.4.7,8.35.39.15,80,37475,18,SYN+ACK,60
1257399223719010,7.12.133.14,172.28.4.7,31953,80,2,SYN,60
1257399223719192,172.28.4.7,7.12.133.14,80,31953,18,SYN+ACK,60
1257399223720501,7.12.133.14,172.28.4.7,31953,80,16,ACK,60
1257399223720637,172.28.4.7,7.12.133.14,80,31953,16,ACK,60
1257399223737627,9.196.194.32,172.28.4.7,28126,80,2,SYN,60
1257399223737770,172.28.4.7,9.196.194.32,80,28126,18,SYN+ACK,60
1257399223738794,9.196.194.32,172.28.4.7,28126,80,16,ACK,60
1257399223738987,172.28.4.7,9.196.194.32,80,28126,16,ACK,60
1257399223739046,8.157.132.13,172.28.4.7,46124,80,2,SYN,60
1257399223748180,8.208.147.15,172.28.4.7,50878,80,2,SYN,60
1257399223754003,11.247.62.26,172.28.4.7,24306,80,2,SYN,60
1257399223765557,11.134.54.38,172.28.4.7,5542,80,2,SYN,60
1257399223787766,14.90.67.18,172.28.4.7,54387,80,2,SYN,60
1257399223788210,12.27.5.69,172.28.4.7,20771,80,2,SYN,60
1257399223806406,15.56.132.39,172.28.4.7,60412,80,2,SYN,60
1257399223806651,15.184.166.14,172.28.4.7,36429,80,2,SYN,60
1257399223812656,16.161.221.15,172.28.4.7,20783,80,2,SYN,60
1257399223827120,16.16.174.14,172.28.4.7,44989,80,2,SYN,60
1257399223833623,17.202.87.37,172.28.4.7,20917,80,2,SYN,60
1257399223845805,16.244.78.44,172.28.4.7,45655,80,2,SYN,60
1257399223853491,20.17.228.67,172.28.4.7,4928,80,2,SYN,60
1257399223873814,19.14.122.18,172.28.4.7,32725,80,2,SYN,60
1257399223891373,172.28.4.7,8.179.82.34,80,39159,18,SYN+ACK,60
1257399223891377,172.28.4.7,6.223.43.24,80,43546,18,SYN+ACK,60
1257399223891381,172.28.4.7,1.144.159.30,80,49994,18,SYN+ACK,60
1257399223891384,172.28.4.7,3.1.141.25,80,13940,18,SYN+ACK,60
1257399223891387,172.28.4.7,3.1.141.25,80,27945,18,SYN+ACK,60
1257399223891399,172.28.4.7,3.230.71.16,80,51073,18,SYN+ACK,60
1257399223891402,172.28.4.7,1.199.49.19,80,30230,18,SYN+ACK,60
1257399223892460,3.1.141.25,172.28.4.7,13940,80,16,ACK,60
1257399223892598,172.28.4.7,3.1.141.25,80,13940,16,ACK,60
1257399223892684,3.1.141.25,172.28.4.7,27945,80,16,ACK,60
1257399223892821,172.28.4.7,3.1.141.25,80,27945,16,ACK,60
1257399223894749,1.199.49.19,172.28.4.7,30230,80,16,ACK,60
1257399223894886,172.28.4.7,1.199.49.19,80,30230,16,ACK,60
1257399223895276,6.223.43.24,172.28.4.7,43546,80,16,ACK,60
1257399223895412,172.28.4.7,6.223.43.24,80,43546,16,ACK,60
1257399223897373,3.230.71.16,172.28.4.7,51073,80,16,ACK,60
1257399223897510,172.28.4.7,3.230.71.16,80,51073,16,ACK,60
1257399224293071,172.28.4.7,11.6.70.13,80,32126,18,SYN+ACK,60
